market,rarity,num,price,Currency
TCGPlayer,SR,PHNI-EN001,2.32,USD
TCGPlayer,SR,PHNI-EN003,1.18,USD
TCGPlayer,SR,PHNI-EN054,2.54,USD
TCGPlayer,UR,PHNI-EN038,22.54,USD
TCGPlayer,UR,PHNI-EN012,13.52,USD
TCGPlayer,SR,PHNI-EN005,0.40,USD
TCGPlayer,N,PHNI-EN088,0.16,USD
TCGPlayer,SR,PHNI-EN030,0.25,USD
TCGPlayer,SE,PHNI-EN078,10.29,USD
TCGPlayer,UR,PHNI-EN052,18.17,USD
TCGPlayer,UR,PHNI-EN093,6.09,USD
TCGPlayer,UR,PHNI-EN020,7.38,USD
TCGPlayer,SE,PHNI-EN080,6.40,USD
TCGPlayer,SR,PHNI-EN091,0.31,USD
TCGPlayer,N,PHNI-EN004,0.17,USD
TCGPlayer,SR,PHNI-EN094,0.28,USD
TCGPlayer,UR,PHNI-EN032,2.42,USD
TCGPlayer,UR,PHNI-EN095,3.99,USD
TCGPlayer,SR,PHNI-EN067,0.37,USD
TCGPlayer,SR,PHNI-EN092,0.25,USD
TCGPlayer,UR,PHNI-EN045,1.87,USD
TCGPlayer,N,PHNI-EN073,0.18,USD
TCGPlayer,UR,PHNI-EN008,2.79,USD
TCGPlayer,UR,PHNI-EN037,1.36,USD
TCGPlayer,SE,PHNI-EN090,19.84,USD
TCGPlayer,SR,PHNI-EN056,0.31,USD
TCGPlayer,SR,PHNI-EN022,0.41,USD
TCGPlayer,SR,PHNI-EN046,0.25,USD
TCGPlayer,SR,PHNI-EN065,0.31,USD
TCGPlayer,SE,PHNI-EN061,7.99,USD
TCGPlayer,SE,PHNI-EN019,66.84,USD
TCGPlayer,SR,PHNI-EN007,0.27,USD
TCGPlayer,SR,PHNI-EN011,0.28,USD
TCGPlayer,UR,PHNI-EN060,0.48,USD
TCGPlayer,SR,PHNI-EN015,0.23,USD
TCGPlayer,SE,PHNI-EN047,3.47,USD
TCGPlayer,SR,PHNI-EN016,0.23,USD
TCGPlayer,SR,PHNI-EN009,0.20,USD
TCGPlayer,UR,PHNI-EN024,0.49,USD
TCGPlayer,SE,PHNI-EN070,2.54,USD
TCGPlayer,UR,PHNI-EN081,1.67,USD
TCGPlayer,SE,PHNI-EN018,1.93,USD
TCGPlayer,SE,PHNI-EN051,1.55,USD
TCGPlayer,N,PHNI-EN055,0.11,USD
TCGPlayer,N,PHNI-EN057,0.12,USD
TCGPlayer,N,PHNI-EN068,0.04,USD
TCGPlayer,N,PHNI-EN002,0.14,USD
TCGPlayer,SR,PHNI-EN050,0.18,USD
TCGPlayer,SR,PHNI-EN039,0.18,USD
TCGPlayer,SR,PHNI-EN023,0.21,USD
TCGPlayer,N,PHNI-EN066,0.14,USD
TCGPlayer,N,PHNI-EN096,0.10,USD
TCGPlayer,SE,PHNI-EN042,0.97,USD
TCGPlayer,UR,PHNI-EN049,0.63,USD
TCGPlayer,SR,PHNI-EN021,0.24,USD
TCGPlayer,N,PHNI-EN074,0.11,USD
TCGPlayer,SR,PHNI-EN069,0.17,USD
TCGPlayer,N,PHNI-EN058,0.08,USD
TCGPlayer,N,PHNI-EN006,0.12,USD
TCGPlayer,N,PHNI-EN100,0.14,USD
TCGPlayer,N,PHNI-EN010,0.09,USD
TCGPlayer,N,PHNI-EN063,0.08,USD
TCGPlayer,N,PHNI-EN034,0.13,USD
TCGPlayer,N,PHNI-EN013,0.09,USD
TCGPlayer,SR,PHNI-EN086,0.15,USD
TCGPlayer,N,PHNI-EN077,0.10,USD
TCGPlayer,N,PHNI-EN041,0.09,USD
TCGPlayer,N,PHNI-EN076,0.10,USD
TCGPlayer,N,PHNI-EN014,0.09,USD
TCGPlayer,N,PHNI-EN064,0.08,USD
TCGPlayer,N,PHNI-EN033,0.09,USD
